# dataset=entso_e_eic_directory
# created_at=2026-08-13T01:15:13Z
# source=https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
# source_sha256=b53840e8e377b11d12c63241a6a06e68ee36c221897930dae97c0c6ff1903a98
# record_count=76256
# active_record_count=72916
# inactive_record_count=3340
eic_code	status
10T1001C--000340	active
10T1001C--00035Z	active
10T1001C--00036X	active
10T1001C--00037V	active
10T1001C--00038T	active
10T1001C--00039R	active
10T1001C--000405	active
10T1001C--000421	active
10T1001C--00048Q	active
10T1001C--00049O	active
10T1001C--000502	active
10T1001C--000510	active
10T1001C--00052Z	active
10T1001C--00053X	active
10T1001C--00054V	active
10T1001C--00055T	active
10T1001C--00056R	active
10T1001C--00057P	active
10T1001C--00058N	active
10T1001C--00059L	active
10T1001C--00061Y	active
10T1001C--00062W	active
10T1001C--00063U	active
10T1001C--00064S	active
10T1001C--00065Q	active
10T1001C--00066O	active
10T1001C--00067M	active
10T1001C--00068K	active
10T1001C--00069I	active
10T1001C--00070X	active
10T1001C--00071V	active
10T1001C--00072T	active
10T1001C--00073R	active
10T1001C--00074P	active
10T1001C--00075N	active
10T1001C--00076L	active
10T1001C--00077J	active
10T1001C--00078H	active
10T1001C--00079F	active
10T1001C--00080U	active
10T1001C--00081S	inactive
10T1001C--00082Q	inactive
10T1001C--00083O	active
10T1001C--00084M	active
10T1001C--00085K	active
10T1001C--00086I	active
10T1001C--00087G	active
10T1001C--00088E	active
10T1001C--00089C	active
10T1001C--00090R	active
10T1001C--00091P	active
10T1001C--00092N	active
10T1001C--00093L	active
10T1001C--00094J	active
10T1001C--00095H	active
10T1001C--00096F	active
10T1001C--00097D	active
10T1001C--00098B	active
10T1001C--000999	active
10T1001C--00100D	active
10T1001C--00101B	active
10T1001C--001029	active
10T1001C--001037	active
10T1001C--001045	active
10T1001C--001053	active
10T1001C--001061	active
10T1001C--001150	active
10T1001C--00116Z	active
10T1001C--00117X	active
10T1001C--00118V	active
10T1001C--00119T	active
10T1001C--001207	active
10T1001C--001215	active
10T1001C--001223	active
10T1001C--001231	active
10T1001C--00128S	active
10T1001C--00129Q	active
10T1001C--001304	active
10T1001C--001312	active
10T1001C--001320	active
10T1001C--00133Z	active
10T1001C--00134X	active
10T1001C--00135V	active
10T1001C--00136T	active
10T1001C--00137R	active
10T1001C--00138P	active
10T1001C--00139N	active
10T1001C--001401	active
10T1001C--001410	active
10T1001C--00153T	active
10T1001C-000026T	active
10TAT-CH-001A248	active
10TDE-DE-100125D	active
10TDE-EE---10001	active
10TDE-LT---1000I	active
10TES--PT--1005S	active
10THR-RS-100012X	active
10THTW3AZFVQ6VO2	active
10TIE-FR-000001L	active
10V---34567--33J	active
10V--34522---33J	active
10V-APG--ECP-PRB	active
10V-APG-ECP-ARG3	active
10V-APG-ECPTESTU	active
10V-CAO---ECP-PN	active
10V-COR-PUB-TPPW	active
10V-COR-PUB-TPTO	active
10V-CSE-FR---PR0	active
10V-CSE-FR---TSN	active
10V-ELES--ECP-PD	active
10V-PROD-FR----T	active
10V-SWISS-ECP-P7	active
10V-TEST-FR----E	active
10V-TSC-ECP-CSEY	active
10V-TTG-CWE-P--R	active
10V-TTG-CWE-T--B	active
10V000000000001T	active
10V000000000002R	active
10V000000000003P	active
10V000000000004N	active
10V000000000005L	active
10V000000000006J	active
10V000000000007H	active
10V000000000008F	active
10V000000000009D	active
10V000000000010S	active
10V000000000011Q	active
10V000000000012O	active
10V000000000013M	active
10V000000000014K	active
10V000000000100R	active
10V000000000101P	active
10V000000000102N	active
10V000000000103L	active
10V000000010101J	active
10V000000010102H	active
10V001001001AB16	active
10V001001004AC7D	active
10V100010000124S	active
10V100010010003Y	active
10V100010010004W	active
10V100010010005U	active
10V100010010006S	active
10V100010010013V	active
10V100010010021W	active
10V100010010022U	active
10V100010010029G	active
10V1001--100125Z	active
10V1001--100127V	active
10V1001--101001B	active
10V1001--1010029	active
10V1001--1010037	active
10V1001--1010045	active
10V1001--1010053	active
10V1001--1010061	active
10V1001--101008Y	active
10V1001--101009W	active
10V1001--101254J	active
10V1001-1000254F	active
10V1001-1001254A	active
10V100100000105V	active
10V100100000125P	active
10V100100000126N	active
10V100100000133Q	active
10V100100010151I	active
10V100100100125I	active
10V100100100126G	active
10V100100100127E	active
10V100100100128C	active
10V1001A1001A00D	active
10V1001A1001A01B	active
10V1001A1001A029	active
10V1001A1001A037	active
10V1001A1001A045	active
10V1001A1001A053	active
10V1001A1001B017	active
10V1001A1001B025	active
10V1001A1001B033	active
10V1001A1001B041	active
10V1001A1001B06Y	inactive
10V1001A1001B07W	active
10V1001A1001B08U	active
10V1001A1001B106	active
10V1001A1001B114	active
10V1001C--00001O	active
10V1001C--00002M	active
10V1001C--00003K	active
10V1001C--00004I	active
10V1001C--00005G	active
10V1001C--00006E	active
10V1001C--00007C	active
10V1001C--00008A	active
10V1001C--000098	active
10V1001C--00010N	inactive
10V1001C--00011L	active
10V1001C--00012J	active
10V1001C--00013H	active
10V1001C--00014F	active
10V1001C--00015D	active
10V1001C--00016B	active
10V1001C--000179	active
10V1001C--000187	active
10V1001C--000195	active
10V1001C--00020K	active
10V1001C--00021I	active
10V1001C--00022G	active
10V1001C--00023E	active
10V1001C--00024C	active
10V1001C--00025A	active
10V1001C--000268	active
10V1001C--000276	active
10V1001C--000284	active
10V1001C--000292	active
10V1001C--00030H	active
10V1001C--00031F	active
