# source=https://www.bundesbank.de/resource/blob/926192/b27b518a016ea7ca7af321eb7289fcf4/472B63F073F071307366337C94F8C870/blz-aktuell-csv-data.csv
# source_sha256=3a5484358b326d6d9ed8bea003601a7d79abbc100cdb81fd0d30e0c8a21898a6
# valid_from=2026-06-08
# valid_to=2026-09-06
# synthetic_non_routable_bank_code=00000000
bank_code,bic,change_marker,deletion_flag,successor_bank_code
23061220,GENODEF1LZN,U,0,00000000
23062124,GENODEF1BAR,U,0,00000000
23063129,GENODEF1RLB,U,0,00000000
23064107,GENODEF1BCH,U,0,00000000
23070203,DEUTDEHHP02,U,0,00000000
23070224,DEUTDEDBP02,U,0,00000000
23070700,DEUTDEDB237,U,0,00000000
23070710,DEUTDEHH222,U,0,00000000
23080040,DRESDEFF230,U,0,00000000
23089201,DRESDEFFI08,U,0,00000000
23090142,GENODEF1HLU,U,0,00000000
24040000,COBADEFFXXX,U,0,00000000
24050110,NOLADE21LBG,U,0,00000000
24060300,GENODEF1NBU,U,0,00000000
24061392,GENODEF1DAB,U,0,00000000
24070024,DEUTDEDB240,U,0,00000000
24070075,DEUTDE2H240,U,0,00000000
24070324,DEUTDEDBP22,U,0,00000000
24070368,DEUTDE2HP22,U,0,00000000
24080000,DRESDEFF240,U,0,00000000
24090041,GENODEF1LUE,U,0,00000000
24121000,GENODED1RKI,U,0,00000000
24140041,COBADEFFXXX,U,0,00000000
24150001,BRLADE21CUX,U,0,00000000
24151005,NOLADE21STS,U,0,00000000
24151116,NOLADE21STK,U,0,00000000
24151235,BRLADE21ROB,U,0,00000000
24161594,GENODEF1SIT,U,0,00000000
24162898,GENODEF1LAS,U,0,00000000
24180000,DRESDEFF242,U,0,00000000
24180001,DRESDEFF241,U,0,00000000
24191015,GENODEF1SDE,U,0,00000000
25000000,MARKDEF1250,U,0,00000000
25010030,PBNKDEFFXXX,U,0,00000000
25010424,AARBDE5W250,U,0,00000000
25010600,DEHYDE2HXXX,U,0,00000000
25010900,CKVHDE21XXX,U,0,00000000
25020200,BHFBDEFF250,U,0,00000000
25020600,SCFBDE33XXX,M,0,00000000
25040060,COBADEFFXXX,U,0,00000000
25040061,COBADEFFXXX,U,0,00000000
25040066,COBADEFFXXX,U,0,00000000
25050000,NOLADE2HXXX,U,0,00000000
25050055,NOLADE21CSH,U,0,00000000
25050066,NOLADE21CMV,U,0,00000000
25050180,SPKHDE2HXXX,U,0,00000000
25050299,SPKHDE2HXXX,M,1,25050180
25055500,NOLADE21LBS,U,0,00000000
25060000,GENODEFF250,U,0,00000000
25060180,HALLDE2HXXX,U,0,00000000
25069168,GENODEF1DES,U,0,00000000
25069262,GENODEF1NST,U,0,00000000
25069270,GENODEF1MUA,U,0,00000000
25069503,GENODEF1BNT,U,0,00000000
25070024,DEUTDEDBHAN,U,0,00000000
25070066,DEUTDE2H265,U,0,00000000
25070070,DEUTDE2HXXX,U,0,00000000
25070077,DEUTDE2H256,U,0,00000000
25070084,DEUTDE2H258,U,0,00000000
25070086,DEUTDE2H251,U,0,00000000
25070324,DEUTDEDBP24,U,0,00000000
25070370,DEUTDE2HP24,U,0,00000000
25080020,DRESDEFF250,U,0,00000000
25080085,DRESDEFFI65,U,0,00000000
25089220,DRESDEFFI09,U,0,00000000
25090300,GENODEF1BFS,U,0,00000000
25090500,GENODEF1S09,U,0,00000000
25090900,GENODEF1P09,U,0,00000000
25120510,BFSWDE33HAN,U,0,00000000
25151270,NOLADE21BAH,U,0,00000000
25151371,NOLADE21BUF,U,0,00000000
25152375,NOLADE21WAL,U,0,00000000
25152490,NOLADE21WST,U,0,00000000
25190001,VOHADE2HXXX,U,0,00000000
25190088,VOHADE2HXXX,U,0,00000000
25193331,GENODEF1PAT,U,0,00000000
25250001,NOLADE21PEI,U,0,00000000
25260010,GENODEF1PEV,U,0,00000000
25410200,BHWBDE2HXXX,U,0,00000000
25440047,COBADEFFXXX,U,0,00000000
25450001,NOLADE21HMS,U,0,00000000
25450110,NOLADE21SWB,U,0,00000000
25451345,NOLADE21PMT,U,0,00000000
25462160,GENODEF1HMP,U,0,00000000
25462680,GENODEF1COP,U,0,00000000
25470024,DEUTDEDB254,U,0,00000000
25470073,DEUTDE2H254,U,0,00000000
25471024,DEUTDEDB264,U,0,00000000
